Channel ID,Username,Public Name,Videos,Relationship,Monetize Uploads,View Revenue,Copyright Strikes,Linked Date,Views,Subscribers
UCP7LUz8TKiOARTD8LdrVgXQ,TreyNKennedy,Trey Kennedy,11,OWN_AND_OPERATED,Yes,Yes,0,Fri Sep 13 16:18:13 PDT 2013,353301,22543
UCJGkZkJtCvuNK7fc3ZJeQ7g,iamkcjames,Kc James,202,OWN_AND_OPERATED,Yes,Yes,0,Sun Sep 01 09:02:16 PDT 2013,1320587,16111
UCGf3LiXsmvS16-o8YHrdIFQ,itsjessicavanessa,Jessica Vanessa,72,OWN_AND_OPERATED,Yes,Yes,0,Thu Dec 12 16:00:11 PST 2013,1029171,20450
UCr_h42aEKuEMtOwNgMdaYyw,Mrcharlieclassic,Charlie Classic,2,OWN_AND_OPERATED,Yes,Yes,0,Fri Dec 20 15:11:36 PST 2013,2982,704
UCdYZwyosiuZu5w4UiU21AjA,AlcoholicCandy,AlcoholicCandy,0,AFFILIATED,Yes,Yes,0,Mon Apr 01 12:40:05 PDT 2013,0,2
UC9VyAHM4dZ6W0XbrOrtyLIQ,AhernJoey,Joey Ahern and Steel,63,OWN_AND_OPERATED,Yes,Yes,0,Tue Oct 29 13:08:44 PDT 2013,219830,4494
UC1I2sOi6p4EmdgNGo5xcI_g,PlayForGameHD,PlayForGameHD,153,OWN_AND_OPERATED,Yes,Yes,0,Wed Jun 12 06:20:14 PDT 2013,12083208,27349
UC_fIF8nzsrD67pZ9D1iGXoQ,,kaosu jokar VF,144,AFFILIATED,Yes,Yes,0,Tue Sep 10 04:51:09 PDT 2013,79334,131
UCCPmB7Me0VSYop6Vm1bxP6g,chiphoch,Chip Hoch,6,OWN_AND_OPERATED,Yes,Yes,0,Sun Jun 30 18:12:59 PDT 2013,13463,2953
UCunSrVMKdj6xcsJY3xyRseg,garyrojas3,Gary Rojas,18,OWN_AND_OPERATED,Yes,Yes,0,Thu Mar 20 00:03:52 PDT 2014,322696,18948
UC5fMgDg4jSiaTu1xAoQ7Olw,collabvideoclips,Funniest Pet Videos,76,OWN_AND_OPERATED,Yes,Yes,0,Tue Apr 02 00:25:16 PDT 2013,7184,9
UCOpRrg2fRo3pp48Nh7dt1BQ,bottlerocket,Bottlerocket,37,OWN_AND_OPERATED,Yes,Yes,0,Mon Apr 07 12:12:38 PDT 2014,2893319,4005
UCQV0Qy_1fqzbHloomT2JHfQ,ytfsyou,í”„ì_ˆ Fsyou,70,AFFILIATED,Yes,Yes,0,Tue Jul 09 02:31:32 PDT 2013,990852,15370
UCu8TqEOV2JA8mVRk8PDbGmQ,MustSeeMovieTrailers,MustSeeMovieTrailers,4,AFFILIATED,Yes,Yes,0,Mon Apr 22 14:51:39 PDT 2013,2048,0
UCi_V-NWe_nqsj5AlT3SIN_g,TheBestVines,TheBestVines,20,OWN_AND_OPERATED,Yes,Yes,1,Wed May 15 00:58:59 PDT 2013,3313752,69214
UCpSvhq_wyAJvxJvxIgQIzmQ,AustinMilesGeter,Austin Miles Geter,436,OWN_AND_OPERATED,Yes,Yes,0,Fri May 24 17:18:47 PDT 2013,1617442,15131
UC6MJP8rbcojy8ihK3p9vO5w,classicwomansclub,classicwomansclub,14,AFFILIATED,Yes,Yes,0,Mon Jun 10 20:07:23 PDT 2013,1327,4
UC6pccZS-ots2JSRjSEvGhwQ,iFREELIVETV,â˜…ã‚ˆãÅ—ãÅçãƒÅãƒ£ãƒ_ãƒçãƒ«â˜…,107,AFFILIATED,Yes,Yes,0,Fri Nov 15 18:59:05 PST 2013,611378,1032
UClmsuTNOvLB4o4oIZxAtqnw,NeXtGenGTAcom,NeXtGenGTA,116,OWN_AND_OPERATED,Yes,Yes,0,Mon Aug 19 06:37:21 PDT 2013,1864379,7390
UC5uvrqK6NYeF1Tw2zIbOKyQ,jangJunyoung100,ì_¥ì_€ì˜Å,107,AFFILIATED,Yes,Yes,0,Thu Apr 11 21:44:23 PDT 2013,9213405,25323
UCE6ddeaCGxbZol9n-9IcqoA,MILKSNAKEScomedy,MILKSNAKEScomedy,17,OWN_AND_OPERATED,Yes,Yes,0,Mon May 20 17:56:07 PDT 2013,8318,38
UCWoCGqfplGZPPjH034gExQw,Graser,Graser,0,AFFILIATED,Yes,Yes,0,Tue May 28 19:48:19 PDT 2013,0,778
UCsgMB2AZAPurPKT9HdoQmiA,CurtisLepore,CurtisLepore,446,OWN_AND_OPERATED,Yes,Yes,0,Thu Jun 20 12:04:18 PDT 2013,3238339,73822
UCLAiVPAgojHdLwB1j3Oc0eA,kingdaddyvine,kingdaddy,306,OWN_AND_OPERATED,Yes,Yes,0,Tue Oct 29 15:55:51 PDT 2013,146161,564
UCL7IfhFT60v93Vxizz9iiwg,KevinHerronArt,KevinHerronArt,3,AFFILIATED,Yes,Yes,0,Tue Aug 27 16:10:40 PDT 2013,15730,94
UCZmhz_WRhLgWiMX1_xZJPaQ,CollabJapanTV,Collab Japan,2,AFFILIATED,Yes,Yes,0,Fri Apr 12 14:51:04 PDT 2013,2,20
UCvbHueVpe8wDKKIlF9vN51A,GraserPlays,GraserPlays,18,AFFILIATED,Yes,Yes,0,Wed Sep 18 15:16:33 PDT 2013,108397,6800
UCClkhS6kW1kHqixlUwExuiw,CollabCreators,CollabCreators,0,AFFILIATED,Yes,Yes,0,Tue Feb 12 17:24:14 PST 2013,0,3
UCUmv7kGukE128gKimGm-9Tw,,Michael Dennis,24,AFFILIATED,Yes,Yes,0,Fri Mar 07 15:08:01 PST 2014,6446,78
UCZzjaeTtKkU-jzdlYiEsQgA,awkduo,Awk Duo,22,AFFILIATED,Yes,Yes,0,Fri Jun 21 18:36:08 PDT 2013,9991,690
UCbvJioytSDHolhbDs8vdrcQ,WorldOfHitch,Nate Schultz,10,AFFILIATED,Yes,Yes,0,Wed Jun 19 09:45:17 PDT 2013,547324,12081
UCQ84fOpX-9_Q-s5JEZQXZCg,,ëç_í‚_,300,AFFILIATED,Yes,Yes,0,Tue Jun 25 07:13:16 PDT 2013,278842,1990
UC6yHMTQDXiltppYOfXKG_fA,RayLigayaVines,Ray Ligaya,315,OWN_AND_OPERATED,Yes,Yes,0,Thu May 30 19:43:58 PDT 2013,442287,6385
UCJ8NxIhc5rZ6YL1gYoRW31A,CollabKorea,CollabKorea,0,AFFILIATED,Yes,Yes,0,Wed Apr 10 18:28:31 PDT 2013,0,20
UC-SoYtTC81uNWluVLMdZJJw,GraserMC,GraserMC,0,AFFILIATED,Yes,Yes,0,Tue Jul 23 17:37:53 PDT 2013,0,18
UCAxJNIiAoA99ZnvLRZNBPxA,Itto88105,Itto88105,72,AFFILIATED,Yes,Yes,0,Wed Nov 06 05:49:07 PST 2013,17984,102
UC7MgaSfXo7MlORTdevFRR-Q,tayashinproject,tayashinproject,30,AFFILIATED,Yes,Yes,0,Sun Aug 04 19:12:54 PDT 2013,9301,45
UCrar6VEVVScRV4_4Lu2Uxug,kburtontv,kburtontv,0,AFFILIATED,Yes,Yes,0,Fri Nov 22 15:14:41 PST 2013,0,1317
UCDP7yVs1Uim1UJLccDLzlKw,takachannel3,takaãÅ¡ã‚ƒã‚“ãÅ_ã‚‹ï_ˆãÅùãÅ®ä»–ã‚_ãƒ_ãƒ ãƒÅãƒ£ãƒ_ãƒçãƒ«ï_‰,0,AFFILIATED,Yes,Yes,0,Tue Jan 07 01:23:29 PST 2014,0,0
UC3QU8O77ZhdfrRtBUqhRykw,takachannel2,takaãÅ¡ã‚ƒã‚“ãÅ_ã‚‹2,0,AFFILIATED,Yes,Yes,0,Tue Jan 07 01:13:47 PST 2014,0,0
UCJJW3I0QlbvIk7wPxaxyruA,RuffLifeAdventures,RuffLifeAdventures,4,OWN_AND_OPERATED,Yes,Yes,0,Wed May 22 19:29:21 PDT 2013,44,0
UCnZn_cJtS05OBoo3YjHrqYw,tontantin0,tontantin0,1,AFFILIATED,Yes,Yes,0,Wed Jul 10 16:06:56 PDT 2013,55,0
UCskaxPATET9eUO2W0-hwcBA,flyingpotato11,flying.potato.fly,39,AFFILIATED,Yes,Yes,0,Thu Aug 08 18:44:47 PDT 2013,16170,227
UCtbJaExqY6e5ocbQ1oCeAoA,raiden000hayate,raiden000hayate,0,AFFILIATED,Yes,Yes,0,Fri Jul 26 04:50:01 PDT 2013,0,2
UC1r55p6xzDI2OMYN920IgcA,yoshiki0424yi,å–„èµ· .å__å¿™ä_‘æ_¢,355,AFFILIATED,Yes,Yes,0,Mon Jul 22 22:37:53 PDT 2013,3212695,6813
UC7tVVqmiO7aNBCtn-hhtapA,NintenDaan1,NintenDaan,1243,OWN_AND_OPERATED,Yes,Yes,0,Thu Sep 19 15:00:06 PDT 2013,32804700,17547
UCbJA34vWRfvCkpROJG01xiA,BGFvideos,BGFvideos,761,OWN_AND_OPERATED,Yes,Yes,0,Fri Mar 29 01:14:47 PDT 2013,13334770,11787
UCaElkQ7ht_Hrv0flnrTgeXA,Achieve360Point,Achieve360Point,20,AFFILIATED,Yes,Yes,0,Tue Mar 18 00:13:21 PDT 2014,13445,13058
UCXUoPFASwori-CjKIqHgYsQ,KODAIproject,ã‚_ãƒ_ãƒ€ã‚_ãƒ—ãƒ_ã‚¸ã‚§ã‚¯ãƒˆ,61,AFFILIATED,Yes,Yes,0,Sat Sep 21 21:51:25 PDT 2013,536539,3043
UC0z9m0wPNjh8JhzYnUOXMQQ,FFwalkthroughs,FFwalkthroughs,451,AFFILIATED,Yes,Yes,0,Wed Feb 27 19:14:39 PST 2013,4049568,7848
UC35pl-XUdzk6DhiUSn7QRzQ,0120441222kaiba,0120441222kaiba,132,AFFILIATED,Yes,Yes,0,Wed May 22 20:50:26 PDT 2013,985236,1565
UC_JVD0pqucyZMJ5jkAWw6HQ,ruuzanbureido,ruuzanbureido,49,AFFILIATED,Yes,Yes,0,Fri Jul 26 18:38:29 PDT 2013,1622199,3313
UCZ3h7IyAMbrVgvmxTdj-rpA,WoooRen1006,ã‚ˆãÅ¿ãÅƒ@ãÅªã‚‹ãÅ_ãÅèæ¯_æ—¥å_œ8æ™‚ãÅ«å‹•ç”»æ›´æ–°,1127,AFFILIATED,Yes,Yes,0,Thu Sep 19 00:15:42 PDT 2013,7952850,12747
UCiPrfrPQXu5TGnwBjwaoHQw,jhonbogarin,jhon bogarin,11,OWN_AND_OPERATED,Yes,Yes,0,Mon Apr 29 09:05:46 PDT 2013,10328047,7118
UCKtmiD0xY2DXSwrA2XR5sQA,LEMONHOOD702,ã‚Œã‚‚ã‚“ãÅ¡ã‚ƒã‚“ãÅ_ã‚‹ã€‚ ï__ä¸çå±ˆãÅ®ç__ç¥_ãÅ§ãÅ„ãÅ–ã€Åç ´å_©èç’ãÅ«ï__,64,OWN_AND_OPERATED,Yes,Yes,0,Tue Jun 18 01:00:16 PDT 2013,7546879,74776
UCj6VZe_N9p9QGCmJe8Am1VA,appleshift997,ãƒœãƒƒãƒÅãÅŒãÅ_é€Åã‚_ãÅ™ã‚‹ã‚_ãƒ_ãƒ æ—¥è¨˜~byã‚èãÅ_ãÅ•ã‚“~,217,AFFILIATED,Yes,Yes,0,Mon Feb 17 19:59:14 PST 2014,193370,311
UCHsK5_nw6UJh6oCzrIvn_Sg,eun06197,ì›¨ìù_ BJ,27,AFFILIATED,Yes,Yes,0,Fri Apr 19 21:03:34 PDT 2013,8071,1973
UCBYrVZQm_2ch6GTziTHH7IA,fasolosso,Atlas Jack,131,AFFILIATED,Yes,Yes,0,Wed Aug 21 06:45:19 PDT 2013,628764,1401
UCeFUTyt_uGic4tszCrYDcYw,MrRLmano,MrRLmano,623,OWN_AND_OPERATED,Yes,Yes,0,Thu Aug 15 16:43:29 PDT 2013,2151449,3178
UCDGthl99s913UIClqDyw-wA,karaage9332,karaage9332,69,AFFILIATED,Yes,Yes,0,Fri Jun 21 18:40:13 PDT 2013,1585152,1253
UCfba9cyRs4aRiKaGi11d2Ig,myzet1990,BJ Doghole,1401,OWN_AND_OPERATED,Yes,Yes,0,Tue Apr 23 14:06:45 PDT 2013,7068640,27268
UCIuZ4eROoWqguHRiFFUw1Ag,sitappa0923,sitappa0923,345,AFFILIATED,Yes,Yes,0,Wed Jul 24 20:47:16 PDT 2013,4996797,4021
UCAZ5nUVXF3KZU3seA0wfI5w,dyingread,dyingread,21,OWN_AND_OPERATED,Yes,Yes,0,Sun Mar 17 21:21:59 PDT 2013,48248,409
UCqlLDyV0-_WxevNJKcUWERg,0603darkkill,YTí‚¬ëŸ¬,26,AFFILIATED,Yes,Yes,0,Fri Aug 09 18:06:53 PDT 2013,8358,1131
UCehU0fJ7DDpgCfa25XzU-aA,fujimaro1020,fujimaro,300,AFFILIATED,Yes,Yes,0,Fri Nov 08 04:52:45 PST 2013,2213400,3980
UCxH1-D4BLQf3MBMnzqZPchA,Alice920Onepiece,Alice920Onepiece,49,AFFILIATED,Yes,Yes,0,Wed Aug 21 18:41:30 PDT 2013,719520,206
UCBUEqagkS2DGyQVc7fv3Emg,mitchirineko,Mitchiri MitchiriNeko,28,AFFILIATED,Yes,Yes,0,Mon Aug 12 17:28:20 PDT 2013,2470688,16438
UCY7wmF7hJAVfBh-xxgnjKCg,fireboy116,Fireboy,3916,AFFILIATED,Yes,Yes,0,Sat Mar 23 14:36:57 PDT 2013,6857412,3699
UCvTcvwXUTaW26jmZk311uLg,age9600,ì—êìù´ì§€,258,AFFILIATED,Yes,Yes,0,Thu Jul 25 04:54:59 PDT 2013,898452,6051
UCBrXsmHlLxbpYeV2-DWg22w,TheIvaneh,TheIvaneh,237,OWN_AND_OPERATED,Yes,Yes,0,Thu Aug 01 16:31:12 PDT 2013,12134527,64531
UC6JEqUFT02i2f7wDx6ViarQ,sandyanakim,DiÃ¡na PInKY,9,AFFILIATED,Yes,Yes,0,Mon Sep 16 23:15:14 PDT 2013,106452,14252
UCgkHFFbeegwBIZkqBghFPZA,qf9017,íç_ì¿ ,97,AFFILIATED,Yes,Yes,0,Mon Jul 08 05:35:46 PDT 2013,6995976,33880
UCftu9LArPAkX4fbX-mBCaoQ,ryuki054,ryuki054,235,AFFILIATED,Yes,Yes,0,Thu Dec 05 03:22:55 PST 2013,667217,565
UCtRrFMfj45bOv3u6vnaz8Ew,ZELLcrystal,ZELL crystal,38,AFFILIATED,Yes,Yes,0,Sat Nov 02 09:34:11 PDT 2013,1161196,1574
UCP9DMVjFQtY-NUCMUIOs8QQ,topbakaterebikyoku,topbakaterebikyoku,224,AFFILIATED,Yes,Yes,0,Thu Sep 12 09:02:24 PDT 2013,742883,526
UCAtteP983B-v6ibQKmmbvgA,kakao7928,Kao Story,190,AFFILIATED,Yes,Yes,0,Wed Jul 31 09:41:52 PDT 2013,624949,6453
UCHVjgGKRHbjC0GLyJ4o4BYQ,MOARBonersGames,MOARBonersGames,456,OWN_AND_OPERATED,Yes,Yes,0,Sun Mar 03 04:18:45 PST 2013,3216831,7043
UCWsmx8h_aRcnWIsMy0jcUjA,TrendyFactoryTiel,ì‹¸ë‚˜ìù´,20,AFFILIATED,Yes,Yes,0,Tue Apr 09 19:57:46 PDT 2013,301218,130
UC0Gr7vcVkPOh6t9BeRJ78Sw,Mighawn,Ynouk LOL,636,AFFILIATED,Yes,Yes,0,Mon Apr 15 21:08:48 PDT 2013,11901438,14371
UCVjAW_GXsPAbXKKEJYPBs0g,The369ranggge,369ranggge 369ë_‘ê»˜,301,AFFILIATED,Yes,Yes,0,Fri Aug 16 17:38:47 PDT 2013,2743156,13576
UCBN9XqkKuLKPZgFRfZ8-fhA,AZerokelvin,AZerokelvin+,184,AFFILIATED,Yes,Yes,0,Fri Jan 10 23:00:49 PST 2014,8277785,17355
UC6fV4bwkn5Mkd6hUGZwcyVw,MEN999meromero,MEN999meromero,365,AFFILIATED,Yes,Yes,0,Fri May 17 04:21:05 PDT 2013,3362753,2402
UCl3Q7BUv0nVKHA8m0DqmYPw,jamjanee,janee jam,3853,AFFILIATED,Yes,Yes,0,Tue Apr 09 19:52:36 PDT 2013,164932,235
UC1umm0a8LTepsir1u9vBjFA,AeroCodManiac,AeroCodManiac,0,OWN_AND_OPERATED,Yes,Yes,0,Wed Jun 12 17:00:32 PDT 2013,0,26850
UCA7-sx4QPXgzW6TxCcHpetQ,uedakanamo,uedakanamo,208,AFFILIATED,Yes,Yes,0,Tue Jun 25 21:42:32 PDT 2013,2029614,578
UCk20SbJ99UPX10etap-htww,Krokva1,Krokva1,58,AFFILIATED,Yes,Yes,0,Mon Jun 24 22:09:35 PDT 2013,832102,61
UCgF3nbVwDuKOZkrf0HF9siA,Avassmusic,Avassmusic,42,AFFILIATED,Yes,Yes,0,Fri Oct 25 10:12:29 PDT 2013,179019,1373
UCfmVHKcNq0gYd5Q21WZjS6A,zergyericlpful,ë¶„í™çí‘œë_”,280,AFFILIATED,Yes,Yes,0,Sat Apr 20 00:16:39 PDT 2013,2299323,12265
UCRxqZLzVjp-9Vf8YRB6CjrA,hamuegg32,ãƒèãƒ ã‚¨ãƒƒã‚°ãÅ®ãÅ¡ã‚ƒã‚“ãÅ_ã‚‹,269,AFFILIATED,Yes,Yes,0,Wed Oct 23 21:14:21 PDT 2013,1205389,4094
UCIJmANnmBDOKyAlAoV2HK1g,bulppak1,ê_€ë¬´ë‡Œ,370,AFFILIATED,Yes,Yes,0,Fri Apr 12 02:13:25 PDT 2013,3486766,18016
